,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,h_per_l,year_sqrt,official_dealer
122,2012,95000,Petrol,Individual,Manual,First Owner,16.3,1797.0,147.5,5,82.08124652198109,4048144,0
123,2016,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598.0,103.5,5,64.76846057571964,4064256,0
124,2017,18000,Petrol,Dealer,Automatic,First Owner,15.6,1497.0,116.3,5,77.68871075484302,4068289,0
125,2019,9654,Petrol,Dealer,Automatic,First Owner,19.56,1197.0,81.8,5,68.33751044277359,4076361,0
126,2011,11000,Petrol,Dealer,Manual,First Owner,23.95,998.0,67.05,5,67.18436873747494,4044121,0
127,2012,24300,Petrol,Dealer,Manual,First Owner,21.21,1197.0,81.8,5,68.33751044277359,4048144,0
128,2018,8000,Diesel,Dealer,Automatic,First Owner,21.5,1497.0,108.5,5,72.47828991315964,4072324,0
129,2016,41000,Petrol,Dealer,Automatic,First Owner,19.16,2494.0,157.7,5,63.23175621491579,4064256,0
130,2009,71000,Petrol,Dealer,Automatic,First Owner,12.1,2362.0,164.7,5,69.72904318374259,4036081,0
131,2016,20000,Petrol,Individual,Manual,First Owner,17.5,1373.0,91.1,7,66.35105608157319,4064256,0
132,2018,9500,Petrol,Individual,Manual,First Owner,18.16,1196.0,86.8,5,72.5752508361204,4072324,0
133,2011,120000,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.0,5,48.60614724803431,4044121,0
134,2015,36600,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,5,68.33751044277359,4060225,0
135,2015,50000,Petrol,Individual,Automatic,Second Owner,20.51,998.0,67.0,5,67.13426853707415,4060225,0
136,2016,14000,Petrol,Individual,Manual,Second Owner,18.6,1197.0,81.83,5,68.3625730994152,4064256,0
137,1999,40000,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,4,46.482412060301506,3996001,0
138,2010,120000,Diesel,Individual,Manual,First Owner,21.1,1248.0,73.9,5,59.21474358974359,4040100,0
139,2015,70000,Petrol,Individual,Manual,First Owner,18.9,1197.0,82.0,5,68.50459482038428,4060225,0
140,2019,13000,Petrol,Individual,Manual,First Owner,19.44,999.0,75.0,5,75.07507507507508,4076361,0
141,2014,35000,Petrol,Individual,Manual,First Owner,19.1,1197.0,85.8,5,71.67919799498746,4056196,0
142,2016,44000,Petrol,Individual,Manual,Second Owner,19.1,1197.0,82.0,5,68.50459482038428,4064256,0
143,2005,120000,Petrol,Individual,Manual,Second Owner,13.0,1493.0,100.0,5,66.97923643670461,4020025,0
144,2010,60000,Diesel,Individual,Manual,First Owner,21.43,1364.0,87.2,5,63.929618768328446,4040100,0
145,2000,60000,Petrol,Individual,Manual,First Owner,18.5,796.0,53.0,5,66.58291457286431,4000000,0
146,2014,30000,Diesel,Individual,Manual,Second Owner,13.0,2982.0,168.5,7,56.50570087189805,4056196,0
147,2016,15000,Petrol,Individual,Manual,Second Owner,18.15,1198.0,82.0,6,68.44741235392321,4064256,0
148,2017,90000,Diesel,Individual,Manual,First Owner,22.95,1248.0,74.0,5,59.294871794871796,4068289,0
149,2009,47000,Petrol,Individual,Manual,Second Owner,17.0,1497.0,118.0,5,78.82431529726118,4036081,0
150,2005,90000,Petrol,Individual,Manual,First Owner,17.3,993.0,60.0,5,60.42296072507553,4020025,0
151,2005,86000,Petrol,Individual,Manual,First Owner,15.3,1341.0,83.0,5,61.894108873974645,4020025,0
152,2017,37000,Diesel,Individual,Manual,First Owner,28.09,1248.0,88.5,5,70.91346153846153,4068289,0
153,2019,14000,Petrol,Individual,Manual,First Owner,20.3,1199.0,84.0,5,70.05838198498749,4076361,0
154,2015,70000,Diesel,Individual,Manual,First Owner,20.77,1248.0,88.76,7,71.12179487179488,4060225,0
155,2012,120000,Diesel,Individual,Manual,First Owner,18.9,1248.0,74.0,5,59.294871794871796,4048144,0
156,2015,50000,Petrol,Individual,Manual,First Owner,17.4,1497.0,117.3,5,78.3567134268537,4060225,0
157,2016,50000,CNG,Individual,Manual,First Owner,26.6,998.0,58.16,5,58.27655310621242,4064256,0
158,2017,50000,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,5,69.45697577276525,4068289,0
159,2003,90000,Petrol,Individual,Manual,Second Owner,18.9,1248.0,74.0,5,59.294871794871796,4012009,0
160,2018,35000,Petrol,Individual,Automatic,First Owner,20.51,998.0,67.0,5,67.13426853707415,4072324,0
161,2017,20000,Petrol,Individual,Manual,First Owner,21.21,1197.0,81.8,5,68.33751044277359,4068289,0
162,2018,7800,Petrol,Individual,Automatic,First Owner,22.0,1197.0,81.8,5,68.33751044277359,4072324,0
163,2017,20000,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,5,68.33751044277359,4068289,0
164,2019,15000,Diesel,Individual,Manual,First Owner,17.6,2179.0,147.94,7,67.89352914180817,4076361,0
165,2013,31377,Petrol,Individual,Manual,Second Owner,18.5,1197.0,82.85,5,69.21470342522973,4052169,0
166,2018,50000,Diesel,Individual,Manual,First Owner,28.4,1248.0,74.02,5,59.31089743589743,4072324,0
167,2015,60000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5,67.17434869739479,4060225,0
168,2012,100000,Petrol,Individual,Automatic,First Owner,14.53,1794.0,138.1,5,76.9788182831661,4048144,0
169,2018,5000,Petrol,Individual,Automatic,First Owner,21.4,1197.0,83.1,5,69.4235588972431,4072324,0
170,2017,60000,Diesel,Individual,Manual,First Owner,14.1,2179.0,147.94,7,67.89352914180817,4068289,0
171,2017,80000,Petrol,Individual,Manual,Second Owner,20.63,1198.0,67.0,5,55.92654424040067,4068289,0
172,2017,75000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5,70.91346153846153,4068289,0
173,2020,32000,Petrol,Individual,Manual,First Owner,20.14,1197.0,81.86,5,68.38763575605681,4080400,0
174,2015,40000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5,59.42211055276381,4060225,0
175,2012,93000,Petrol,Individual,Manual,Second Owner,17.0,1197.0,80.0,5,66.83375104427736,4048144,0
176,2018,60000,Petrol,Individual,Manual,First Owner,17.57,1193.0,88.7,5,74.35037720033529,4072324,0
177,2008,120000,Petrol,Individual,Manual,Second Owner,18.9,1248.0,74.0,5,59.294871794871796,4032064,0
178,2014,37000,Petrol,Individual,Manual,First Owner,16.95,1498.0,97.7,5,65.22029372496662,4056196,0
179,2018,15000,Petrol,Individual,Manual,First Owner,17.0,1497.0,121.36,5,81.06880427521709,4072324,0
180,2016,140000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5,67.17434869739479,4064256,0
181,2013,70000,Diesel,Individual,Manual,First Owner,12.83,2696.0,162.0,7,60.08902077151335,4052169,0
182,2013,120000,Diesel,Individual,Manual,Second Owner,17.21,1493.0,100.0,7,66.97923643670461,4052169,0
183,2010,110000,Diesel,Individual,Manual,Second Owner,21.1,1248.0,73.9,5,59.21474358974359,4040100,0
184,2017,37000,Diesel,Individual,Manual,First Owner,19.67,1582.0,126.2,5,79.7724399494311,4068289,0
185,2016,44000,Petrol,Individual,Manual,First Owner,25.17,799.0,53.3,5,66.7083854818523,4064256,0
186,2015,80000,Diesel,Individual,Manual,First Owner,20.77,1248.0,88.76,7,71.12179487179488,4060225,0
187,2015,125000,Diesel,Individual,Manual,First Owner,15.1,2179.0,140.0,7,64.24965580541533,4060225,0
188,2017,13500,Petrol,Individual,Manual,First Owner,15.37,1196.0,73.0,5,61.03678929765886,4068289,0
189,2011,75000,Petrol,Individual,Manual,First Owner,17.92,1086.0,62.1,5,57.18232044198895,4044121,0
190,2007,120000,Petrol,Individual,Manual,Second Owner,13.2,1495.0,94.0,5,62.876254180602004,4028049,0
191,2012,120000,Diesel,Individual,Manual,First Owner,15.1,2179.0,140.0,7,64.24965580541533,4048144,0
192,2013,70000,Diesel,Individual,Manual,First Owner,12.99,2494.0,100.57,7,40.324779470729744,4052169,0
193,2013,70000,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5,59.294871794871796,4052169,0
194,2019,15000,Petrol,Individual,Automatic,First Owner,19.0,1199.0,88.76,5,74.02835696413678,4076361,0
195,2009,53000,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,5,65.91478696741855,4036081,0
196,2014,120000,Diesel,Individual,Manual,Second Owner,23.4,1248.0,74.0,5,59.294871794871796,4056196,0
197,2016,70000,Diesel,Individual,Manual,First Owner,24.52,1248.0,88.5,7,70.91346153846153,4064256,0
198,2008,120000,Petrol,Individual,Manual,Second Owner,14.2,1341.0,82.9,5,61.81953765846384,4032064,0
199,2012,100000,Petrol,Individual,Manual,Second Owner,18.5,1197.0,80.0,5,66.83375104427736,4048144,0
200,2005,110000,Diesel,Individual,Manual,Second Owner,18.9,1248.0,74.0,5,59.294871794871796,4020025,0
201,2015,100000,Petrol,Individual,Manual,First Owner,20.4,1197.0,83.11,5,69.43191311612364,4060225,0
202,2013,162500,Diesel,Individual,Manual,First Owner,19.4,1405.0,70.0,5,49.8220640569395,4052169,0
203,2017,39000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5,63.56017191977078,4068289,0
204,2017,75000,Diesel,Individual,Manual,First Owner,26.8,1248.0,74.0,5,59.294871794871796,4068289,0
205,2017,50000,Diesel,Individual,Automatic,First Owner,17.6,2179.0,153.86,7,70.61037173015146,4068289,0
206,2019,40000,Diesel,Individual,Manual,First Owner,17.3,1497.0,121.0,8,80.82832331329325,4076361,0
207,2013,92500,Diesel,Individual,Manual,First Owner,22.32,1582.0,126.3,5,79.83565107458912,4052169,0
208,2012,158000,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5,59.294871794871796,4048144,0
209,2012,120000,Diesel,Individual,Manual,First Owner,19.3,1248.0,73.9,5,59.21474358974359,4048144,0
210,2015,50000,Diesel,Individual,Manual,Second Owner,26.0,1498.0,98.6,5,65.82109479305741,4060225,0
211,2012,110000,Diesel,Individual,Manual,First Owner,19.3,1248.0,73.9,5,59.21474358974359,4048144,0
212,2017,2000,Diesel,Individual,Manual,Second Owner,25.4,1186.0,73.97,5,62.36930860033727,4068289,0
213,2016,70000,Diesel,Individual,Manual,First Owner,27.28,1047.0,69.0,5,65.90257879656161,4064256,0
214,2013,90000,Petrol,Individual,Automatic,Second Owner,17.97,1498.0,99.6,5,66.4886515353805,4052169,0
215,2019,2000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.86,5,68.38763575605681,4076361,0
216,2015,20000,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,5,69.45697577276525,4060225,0
217,2011,120000,Diesel,Individual,Manual,First Owner,12.8,2494.0,102.0,7,40.8981555733761,4044121,0
218,2017,35000,Diesel,Individual,Manual,First Owner,16.55,2498.0,105.0,6,42.03362690152122,4068289,0
219,2012,193000,Diesel,Individual,Manual,First Owner,19.3,1248.0,73.9,5,59.21474358974359,4048144,0
220,2014,80000,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,5,68.33751044277359,4056196,0
221,2019,40000,Petrol,Individual,Manual,First Owner,19.02,1198.0,67.05,5,55.968280467445744,4076361,0
222,2015,70000,Diesel,Individual,Manual,Fourth & Above Owner,22.54,1396.0,88.73,5,63.56017191977078,4060225,0
223,2011,122358,Diesel,Individual,Manual,First Owner,12.05,2179.0,120.0,9,55.07113354749886,4044121,0
224,2017,120000,Diesel,Individual,Manual,First Owner,27.28,1047.0,69.0,5,65.90257879656161,4068289,0
225,2015,40000,Petrol,Individual,Manual,First Owner,17.57,1193.0,88.7,5,74.35037720033529,4060225,0
226,2014,33033,Petrol,Dealer,Manual,First Owner,19.4,1198.0,86.8,5,72.45409015025042,4056196,0
227,2015,63063,Petrol,Dealer,Automatic,First Owner,18.9,1197.0,82.0,5,68.50459482038428,4060225,0
228,2012,60000,Diesel,Individual,Manual,First Owner,21.02,1248.0,88.76,5,71.12179487179488,4048144,0
229,2005,45000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5,58.16582914572864,4020025,0
230,2016,35000,Petrol,Individual,Manual,First Owner,16.8,796.0,34.2,8,42.96482412060302,4064256,0
231,2017,35000,Petrol,Individual,Manual,First Owner,18.9,1197.0,82.0,5,68.50459482038428,4068289,0
232,2013,50000,Petrol,Individual,Automatic,First Owner,16.95,1197.0,78.9,5,65.91478696741855,4052169,0
233,2011,20000,Petrol,Individual,Automatic,First Owner,16.95,1197.0,78.9,5,65.91478696741855,4044121,0
234,2012,50000,Petrol,Individual,Manual,Second Owner,18.6,1197.0,85.8,5,71.67919799498746,4048144,0
235,2014,120000,Diesel,Individual,Manual,First Owner,15.96,2523.0,62.1,7,24.613555291319855,4056196,0
236,2014,70000,Petrol,Individual,Manual,First Owner,17.1,1591.0,121.3,5,76.24135763670647,4056196,0
237,2015,50000,Petrol,Individual,Manual,First Owner,17.19,1197.0,81.86,5,68.38763575605681,4060225,0
238,2019,16500,Petrol,Individual,Manual,First Owner,21.01,1197.0,81.8,5,68.33751044277359,4076361,0
239,2010,70000,Petrol,Individual,Manual,First Owner,17.0,1197.0,80.0,5,66.83375104427736,4040100,0
240,2005,99361,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5,58.16582914572864,4020025,0
241,2014,70000,Petrol,Individual,Manual,Second Owner,19.1,1197.0,85.8,5,71.67919799498746,4056196,0
242,2015,80000,Diesel,Individual,Manual,Second Owner,24.0,1120.0,70.0,5,62.49999999999999,4060225,0
243,2010,70000,Petrol,Individual,Manual,Second Owner,18.9,1248.0,74.0,5,59.294871794871796,4040100,0
244,2012,60000,Petrol,Individual,Manual,Third Owner,18.6,1199.0,79.4,5,66.22185154295246,4048144,0
245,2018,10000,Petrol,Individual,Automatic,First Owner,20.3,1199.0,84.0,5,70.05838198498749,4072324,0
246,2006,80000,Petrol,Individual,Manual,First Owner,16.1,796.0,37.0,4,46.482412060301506,4024036,0
247,2017,30000,Diesel,Individual,Manual,First Owner,25.6,1498.0,97.9,5,65.35380507343125,4068289,0
248,2017,33000,Diesel,Individual,Manual,First Owner,25.6,1498.0,97.9,5,65.35380507343125,4068289,0
249,2013,90000,Petrol,Individual,Manual,Third Owner,16.02,1373.0,93.7,7,68.24471959213402,4052169,0
